,Total Population,Pop. that Works from Home,Single Occupant Households,Single Parent Households,Married Parent Households,Undergrads and Grads,Diploma/GED attained,Degree attained,Households in Poverty,Below 40k Earners,40k-100k Earners,Above 100k Earners,Unemployed,Renter Occupied Households,Owner Occupied Households,Crime Counts,walk_score,transit_score,Fast Food Count,Fast Food Consumers,raw_visit_count
421010380001,1303,0,102,147,28,83,358,98,415,149,201,65,61,82,333,113,40,63,0.0,0.0,53601.0
421010380002,1138,0,170,123,14,22,218,80,402,247,140,15,48,198,204,86,74,65,0.0,0.0,85008.0
421010381001,614,13,97,39,31,24,153,38,213,116,83,14,62,78,135,125,53,49,0.0,0.0,192831.0
421010381002,182,0,32,18,0,10,54,26,84,55,22,7,19,65,19,149,21,48,0.0,0.0,245439.0
421010382001,741,0,62,59,32,24,264,51,222,147,53,22,27,124,98,291,92,65,4.0,1650.0,66922.0
421010382002,961,26,140,56,50,38,338,97,389,200,153,36,67,130,259,252,86,62,2.0,423.0,88017.0
421010382003,878,0,79,91,8,61,179,5,309,226,64,19,80,181,128,369,80,65,6.0,3787.0,137020.0
421010383001,1833,0,113,103,45,118,619,75,421,334,74,13,94,216,205,725,48,55,2.0,1502.0,195953.0
421010383002,893,9,53,67,39,85,141,17,279,177,102,0,112,110,169,64,83,60,0.0,0.0,28435.0
421010383003,1018,0,94,115,9,15,316,26,320,217,85,18,86,180,140,77,75,60,1.0,354.0,49273.0
421010384001,1383,41,129,21,101,93,296,478,511,108,115,288,76,12,499,34,17,35,0.0,0.0,23926.0
421010384002,1066,9,164,0,108,55,182,273,435,147,160,128,27,161,274,92,44,39,2.0,235.0,41833.0
421010385001,617,15,103,15,61,11,47,255,278,49,63,166,15,74,204,29,56,53,0.0,0.0,16553.0
421010385002,1249,24,300,23,75,147,65,681,601,194,175,232,39,329,272,32,50,51,0.0,0.0,37519.0
421010386001,1410,69,142,18,144,69,98,728,599,74,151,374,43,170,429,61,20,31,0.0,0.0,37259.0
421010387001,605,39,87,12,64,16,18,318,261,39,59,163,0,52,209,48,85,54,0.0,0.0,20512.0
421010387002,1967,127,52,26,103,678,183,598,384,49,74,261,85,46,338,76,38,51,0.0,0.0,65142.0
421010388001,691,28,186,29,55,4,69,319,387,170,59,158,9,159,228,24,48,48,0.0,0.0,30778.0
421010388002,963,136,125,74,60,10,70,426,443,106,143,194,8,130,313,61,70,51,0.0,0.0,18245.0
421010388003,769,25,108,6,51,56,42,212,328,61,160,107,70,95,233,39,86,52,0.0,0.0,14675.0
421010388004,1472,72,245,41,97,143,151,567,582,126,213,243,74,89,493,26,69,47,0.0,0.0,20004.0
421010389001,1204,39,150,36,61,74,379,110,357,267,50,40,137,183,174,162,63,58,1.0,241.0,67508.0
421010389002,988,6,196,43,33,44,143,188,458,143,253,62,19,90,368,94,63,56,0.0,0.0,25469.0
421010389003,989,21,231,99,11,60,160,146,455,263,127,65,70,152,303,106,43,57,0.0,0.0,28937.0
421010390001,1355,0,76,163,77,38,278,15,375,258,117,0,136,151,224,374,61,60,1.0,1268.0,150484.0
421010390002,1553,0,60,174,52,140,329,136,446,139,239,68,265,102,344,70,82,62,0.0,0.0,17207.0
421010390003,1060,0,75,109,0,20,378,11,308,170,127,11,96,105,203,48,84,63,0.0,0.0,13069.0
421010390004,653,38,24,110,14,0,106,27,159,111,48,0,118,69,90,80,85,69,0.0,0.0,36638.0
421010390005,1274,0,77,117,80,99,178,29,314,140,146,28,42,86,228,52,83,67,0.0,0.0,21172.0
421010390006,945,0,77,65,35,70,243,67,292,169,80,43,109,192,100,89,75,58,0.0,0.0,19408.0
421010390007,1573,29,135,230,57,141,301,24,494,375,76,43,177,284,210,86,80,64,0.0,0.0,19726.0
421010390008,872,53,139,138,30,34,174,128,322,192,117,13,169,121,201,131,76,61,0.0,0.0,17799.0
